model_name,test_category,root_type,sub_type,count,error_type,original_model_name,model_type,test_category_count
Claude-3-Opus-20240229 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,50.0
Claude-3-Opus-20240229 (Prompt),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,claude-3-opus-20240229,Prompt,50.0
Claude-3-Opus-20240229 (Prompt),ast_parallel,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),ast_parallel,Parallel Function Error, No Match Found,13,Parallel Function Error: No Match Found,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),ast_parallel,Parallel Function Error, Unexpected Function Count,13,Parallel Function Error: Unexpected Function Count,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),relevance,Relevance Error, Succeeded with Irrelevant Func Doc,47,Relevance Error: Succeeded with Irrelevant Func Doc,claude-3-opus-20240229,Prompt,240.0
Claude-3-Opus-20240229 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,40.0
Claude-3-Opus-20240229 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,claude-3-opus-20240229,Prompt,40.0
Claude-3-Opus-20240229 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,50.0
Claude-3-Opus-20240229 (Prompt),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,claude-3-opus-20240229,Prompt,50.0
Claude-3-Opus-20240229 (Prompt),ast_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),ast_multiple,Parallel Function Error, No Match Found,9,Parallel Function Error: No Match Found,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),ast_multiple,Parallel Function Error, Unexpected Function Count,2,Parallel Function Error: Unexpected Function Count,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),ast_parallel_multiple,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),ast_parallel_multiple,Parallel Function Error, No Match Found,35,Parallel Function Error: No Match Found,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),ast_parallel_multiple,Parallel Function Error, Unexpected Function Count,1,Parallel Function Error: Unexpected Function Count,claude-3-opus-20240229,Prompt,200.0
Claude-3-Opus-20240229 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,1,Executable Function Error (REST): Incorrect HTTP Status Code,claude-3-opus-20240229,Prompt,70.0
Claude-3-Opus-20240229 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,70.0
Claude-3-Opus-20240229 (Prompt),ast_simple,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,400.0
Claude-3-Opus-20240229 (Prompt),ast_simple,Simple Function Error, Missing Optional Parameter,1,Simple Function Error: Missing Optional Parameter,claude-3-opus-20240229,Prompt,400.0
Claude-3-Opus-20240229 (Prompt),ast_simple,Simple Function Error, Missing Required Parameter,2,Simple Function Error: Missing Required Parameter,claude-3-opus-20240229,Prompt,400.0
Claude-3-Opus-20240229 (Prompt),ast_simple,Type Error, Composite Type Mismatch,5,Type Error: Composite Type Mismatch,claude-3-opus-20240229,Prompt,400.0
Claude-3-Opus-20240229 (Prompt),ast_simple,Type Error, Primitive Type Mismatch,1,Type Error: Primitive Type Mismatch,claude-3-opus-20240229,Prompt,400.0
Claude-3-Opus-20240229 (Prompt),ast_simple,Value Error, Invalid List/Tuple Format,1,Value Error: Invalid List/Tuple Format,claude-3-opus-20240229,Prompt,400.0
Claude-3-Opus-20240229 (Prompt),ast_simple,Value Error, Wrong String Value,10,Value Error: Wrong String Value,claude-3-opus-20240229,Prompt,400.0
Claude-3-Opus-20240229 (Prompt),ast_simple,Value Error, Wrong int/float/bool/variable Value,2,Value Error: Wrong int/float/bool/variable Value,claude-3-opus-20240229,Prompt,400.0
Claude-3-Opus-20240229 (Prompt),ast_java,Function Parsing Error, Decoding Failure,16,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_java,Simple Function Error, Incorrect Function Name,2,Simple Function Error: Incorrect Function Name,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_java,Type Error, Primitive Type Mismatch,6,Type Error: Primitive Type Mismatch,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_java,Value Error, Invalid Dictionary Items,1,Value Error: Invalid Dictionary Items,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_java,Value Error, Wrong String Value,8,Value Error: Wrong String Value,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_java,Value Error, Wrong int/float/bool/variable Value,1,Value Error: Wrong int/float/bool/variable Value,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_js,Simple Function Error, Missing Optional Parameter,1,Simple Function Error: Missing Optional Parameter,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_js,Simple Function Error, Unexpected Parameter Encountered,1,Simple Function Error: Unexpected Parameter Encountered,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_js,Type Error, Composite Type Mismatch,2,Type Error: Composite Type Mismatch,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_js,Type Error, Primitive Type Mismatch,3,Type Error: Primitive Type Mismatch,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_js,Value Error, Invalid Dictionary Key,1,Value Error: Invalid Dictionary Key,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_js,Value Error, Invalid Dictionary Value,1,Value Error: Invalid Dictionary Value,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_js,Value Error, Wrong String Value,4,Value Error: Wrong String Value,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),ast_js,Value Error, Wrong int/float/bool/variable Value,1,Value Error: Wrong int/float/bool/variable Value,claude-3-opus-20240229,Prompt,100.0
Gemma-7b-it (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,29,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,50.0
Gemma-7b-it (Prompt),ast_parallel,Function Parsing Error, Decoding Failure,85,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_parallel,Function Parsing Error, Incorrect Decoder Output Format,26,Function Parsing Error: Incorrect Decoder Output Format,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_parallel,Parallel Function Error, No Match Found,6,Parallel Function Error: No Match Found,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_parallel,Parallel Function Error, Unexpected Function Count,23,Parallel Function Error: Unexpected Function Count,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,7,Executable Function Error (Non REST): Incorrect Execution Result,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),exec_simple,Function Parsing Error, Decoding Failure,46,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),relevance,Relevance Error, Succeeded with Irrelevant Func Doc,70,Relevance Error: Succeeded with Irrelevant Func Doc,google_gemma-7b-it,Prompt,240.0
Gemma-7b-it (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,17,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,40.0
Gemma-7b-it (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,5,Value Error: Execution Result Count,google_gemma-7b-it,Prompt,40.0
Gemma-7b-it (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,17,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,50.0
Gemma-7b-it (Prompt),exec_parallel,Value Error, Execution Result Count,1,Value Error: Execution Result Count,google_gemma-7b-it,Prompt,50.0
