model_name,test_category,root_type,sub_type,count,error_type,original_model_name,model_type,test_category_count
Claude-3-Opus-20240229 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,50.0
Claude-3-Opus-20240229 (Prompt),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,claude-3-opus-20240229,Prompt,50.0
Claude-3-Opus-20240229 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,100.0
Claude-3-Opus-20240229 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,40.0
Claude-3-Opus-20240229 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,claude-3-opus-20240229,Prompt,40.0
Claude-3-Opus-20240229 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,50.0
Claude-3-Opus-20240229 (Prompt),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,claude-3-opus-20240229,Prompt,50.0
Claude-3-Opus-20240229 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,1,Executable Function Error (REST): Incorrect HTTP Status Code,claude-3-opus-20240229,Prompt,70.0
Claude-3-Opus-20240229 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-opus-20240229,Prompt,70.0
Gemma-7b-it (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,29,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,50.0
Gemma-7b-it (Prompt),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,7,Executable Function Error (Non REST): Incorrect Execution Result,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),exec_simple,Function Parsing Error, Decoding Failure,46,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,17,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,40.0
Gemma-7b-it (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,5,Value Error: Execution Result Count,google_gemma-7b-it,Prompt,40.0
Gemma-7b-it (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,17,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,50.0
Gemma-7b-it (Prompt),exec_parallel,Value Error, Execution Result Count,1,Value Error: Execution Result Count,google_gemma-7b-it,Prompt,50.0
Gemma-7b-it (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,4,Executable Function Error (REST): Incorrect HTTP Status Code,google_gemma-7b-it,Prompt,70.0
Gemma-7b-it (Prompt),exec_rest,Executable Function Error (REST), Runtime Execution Error,30,Executable Function Error (REST): Runtime Execution Error,google_gemma-7b-it,Prompt,70.0
Gemma-7b-it (Prompt),exec_rest,Function Parsing Error, Decoding Failure,29,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,70.0
Nexusflow-Raven-v2 (FC),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,3,Executable Function Error (Non REST): Incorrect Execution Result,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,3,Executable Function Error (Non REST): Runtime Execution Error,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),exec_parallel_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,40.0
Nexusflow-Raven-v2 (FC),exec_parallel_multiple,Value Error, Execution Result Count,6,Value Error: Execution Result Count,Nexusflow-Raven-v2,FC,40.0
Nexusflow-Raven-v2 (FC),exec_parallel,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,50.0
Nexusflow-Raven-v2 (FC),exec_parallel,Value Error, Execution Result Count,20,Value Error: Execution Result Count,Nexusflow-Raven-v2,FC,50.0
Nexusflow-Raven-v2 (FC),exec_rest,Executable Error (REST), Response Format Error,4,Executable Error (REST): Response Format Error,Nexusflow-Raven-v2,FC,70.0
Nexusflow-Raven-v2 (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,33,Executable Function Error (REST): Incorrect HTTP Status Code,Nexusflow-Raven-v2,FC,70.0
Nexusflow-Raven-v2 (FC),exec_rest,Executable Function Error (REST), Incorrect Response Key,12,Executable Function Error (REST): Incorrect Response Key,Nexusflow-Raven-v2,FC,70.0
Nexusflow-Raven-v2 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,5,Executable Function Error (REST): Runtime Execution Error,Nexusflow-Raven-v2,FC,70.0
Mistral-Medium-2312 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,12,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,50.0
Mistral-Medium-2312 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,100.0
Mistral-Medium-2312 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,40.0
Mistral-Medium-2312 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,mistral-medium-2312,Prompt,40.0
Mistral-Medium-2312 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,50.0
Mistral-Medium-2312 (Prompt),exec_parallel,Value Error, Execution Result Count,2,Value Error: Execution Result Count,mistral-medium-2312,Prompt,50.0
Mistral-Medium-2312 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,1,Executable Function Error (REST): Incorrect HTTP Status Code,mistral-medium-2312,Prompt,70.0
Mistral-Medium-2312 (Prompt),exec_rest,Executable Function Error (REST), Runtime Execution Error,1,Executable Function Error (REST): Runtime Execution Error,mistral-medium-2312,Prompt,70.0
Mistral-Medium-2312 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,52,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,70.0
Gemini-1.5-Pro-Preview-0409 (FC),exec_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,gemini-1.5-pro-preview-0409,FC,50.0
Gemini-1.5-Pro-Preview-0409 (FC),exec_simple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,gemini-1.5-pro-preview-0409,FC,100.0
Gemini-1.5-Pro-Preview-0409 (FC),exec_parallel_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,gemini-1.5-pro-preview-0409,FC,40.0
Gemini-1.5-Pro-Preview-0409 (FC),exec_parallel,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,gemini-1.5-pro-preview-0409,FC,50.0
Gemini-1.5-Pro-Preview-0409 (FC),exec_parallel,Value Error, Execution Result Count,10,Value Error: Execution Result Count,gemini-1.5-pro-preview-0409,FC,50.0
Gemini-1.5-Pro-Preview-0409 (FC),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,gemini-1.5-pro-preview-0409,FC,70.0
Gemini-1.5-Pro-Preview-0409 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,6,Executable Function Error (REST): Runtime Execution Error,gemini-1.5-pro-preview-0409,FC,70.0
Gemini-1.5-Pro-Preview-0409 (FC),exec_rest,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,gemini-1.5-pro-preview-0409,FC,70.0
Claude-instant-1.2 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,claude-instant-1.2,Prompt,50.0
Claude-instant-1.2 (Prompt),exec_multiple,Value Error, Execution Result Count,4,Value Error: Execution Result Count,claude-instant-1.2,Prompt,50.0
Claude-instant-1.2 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,claude-instant-1.2,Prompt,100.0
Claude-instant-1.2 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,claude-instant-1.2,Prompt,40.0
Claude-instant-1.2 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,claude-instant-1.2,Prompt,40.0
Claude-instant-1.2 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,claude-instant-1.2,Prompt,50.0
Claude-instant-1.2 (Prompt),exec_parallel,Value Error, Execution Result Count,2,Value Error: Execution Result Count,claude-instant-1.2,Prompt,50.0
